Time of Day,1 km,2 km,3 km,5 km,8 km,13 km,21 km,21+ km
00:00,0s,0s,0s,0s,0s,0s,0s,0s
01:00,0s,0s,0s,0s,0s,0s,0s,0s
02:00,0s,0s,0s,0s,0s,0s,0s,0s
03:00,0s,0s,0s,0s,0s,0s,0s,0s
04:00,0s,0s,0s,0s,0s,0s,0s,0s
05:00,0s,0s,0s,0s,0s,0s,0s,0s
06:00,0s,0s,0s,0s,0s,0s,0s,0s
07:00,0s,0s,0s,0s,0s,0s,0s,0s
08:00,0s,0s,0s,0s,0s,0s,0s,0s
09:00,0s,0s,0s,18m5s,21m8s,47m43s,0s,36m37s
10:00,5m4s,0s,0s,0s,0s,0s,0s,56m6s
11:00,0s,0s,0s,0s,0s,21m3s,0s,0s
12:00,0s,0s,0s,0s,0s,0s,0s,0s
13:00,0s,0s,0s,0s,0s,0s,0s,0s
14:00,0s,0s,0s,0s,0s,0s,0s,56m25s
15:00,0s,0s,0s,0s,0s,0s,0s,0s
16:00,0s,0s,0s,0s,0s,0s,0s,0s
17:00,0s,0s,0s,0s,0s,0s,0s,0s
18:00,0s,0s,0s,0s,0s,0s,0s,0s
19:00,0s,0s,0s,0s,0s,0s,0s,0s
20:00,0s,0s,0s,0s,0s,0s,0s,0s
21:00,0s,0s,0s,0s,0s,0s,0s,0s
22:00,0s,0s,0s,0s,0s,0s,0s,0s
23:00,0s,0s,0s,0s,0s,0s,0s,0s
